GENE_ID	Target
HEIH	miR-200b, BCL2L1, miR-939, EZH2, miR-429, miR-200a
MAGI2-AS3	FASLG, FAS
ITGB2-AS1	ITGB2
lncRNA-CTD-2108O9.1	LIFR
TP63	LINC01503
AWPPH	EZH2, SMAD4
LINC00554	MARCKS, MARCKSL1
RP5-1024C24.1	MPPED2
CAMTA1-DT	miR-20b, CAMTA1
RP11-552M11.4	BRCA2
lncRNA-PRLB	SIRT1
MRUL	ABCB1
TUSC8	MYC
miR-148a	HOTAIR, MEG3
miR-125b	MALAT1
ZBTB7A	LINC00473
AC132217.4	IGF2
KLF8	AC132217.4
PURPL	TP53
miR-101-3p	MALAT1
MIR155HG	miR-155
lncSHRG	HES6
lnc-DILC	STAT3, IL6
FOXD3	OLA1P2
OLA1P2	STAT3
UHRF1	MEG3
miR-203	HULC
miR-192	HOTTIP
miR-1	MALAT1
SIRT1-AS	SIRT1
BGLT3	PTEN
PANDAR	CDKN2A, CDKN2C, BCL2
RP5-833A20.1	NFIA, miR-382-5p
VLDLR-AS1	ABCG2
RP11-708H21.4	MTOR, RPS6KB1, AKT1
PHBP1	PHB
UC.134	YAP1, LATS1
HNRNPKP2	CXCR4
STAT5A	HNRNPKP2
PRAL	TP53
LINC00672	LASP1
LNCSRLR	STAT3, IL6
GASAL1	E2F1
lncRNA-BCAT1	CTNNB1, CCND1, MYC, MMP2
AK093407	STAT3
PSMD6-AS1	MDM2
LINC01116	H2AFY, MAP1LC3B2, GAPDH
LINC01013	SNAI1
LOC100129148	KLF12
RB1-DT	RB1, DNMT3A
LINC00092	PFKFB2
RP11-190D6.2	WWOX
SNHG6-003	MAP3K7
PILRLS	TCL1A, MDM2
AK058003	SNCG
miR-216a	MALAT1
LncRNA-HIT	ZEB1
LINC00161	PTEN, IFIT2
lncRNA-Unigene56159	SNAI2
linc-cdh4-2	RAC1, CDH4
SNHG18	SEMA5A
GIHCG	DNMT1, miR-200b, EZH2, miR-429, miR-200a
BRCA1	NEAT1
LINC01133	SRSF6, EZH2, CDH1, KLF2, CDKN1A, KDM1A
GPC3-AS1	GPC3
MFI2	FOXP4
miR-17-3p	GCASPC
KRT7-AS	KRT7
linc-223	IRF4
CLMAT3	CDH1, CDKN1B
CAR10	EGFR, YBX1
TRPM2-AS	SHC1
miR-491-5p	PRINS
HIT000218960	HMGA2
PTCSC2	FOXE1
HANR	GSK3B
UPF1	MALAT1
miR-376c-3p	CYTOR
AC009084.3	MUC2
lnc-GNAT1-1	PEBP1
MRCCAT1	NPR3, EZH2
FBXL19-AS1	miR-203
POU5F1	MALAT1, NEAT1, AK055347
TCONS_00026907	ELK1
MSTO2P	miR-335
PCAT14	miR-372
AF113014	EGR2
n340790	miR-1254
UCC	miR-143
CANT1	XIST, JPX, FTX
lncRNA-PE	miR-200b, ZEB1, miR-200a
MYCN	SNHG1
RBM24	MALAT1
EGF	LINC01089
SOCS2-AS1	TNFSF10
PICSAR	MAPK1, MAPK3, DUSP6
miR-148b-3p	HOTAIR
CASC11	HNRNPK
HOXA13	HOTTIP
FGFR3-AS1	FGFR3
miR-141	HOTAIR, H19
Lnc34a	miR-34a
TATDN1	CDH1, EZR
TATDN2	ERBB2
TATDN3	CTNNB1
BACE1-AS	BACE1
SAMMSON	C1QBP
RGMB-AS1	RGMB
CTNNB1	HOTAIR, RMRP, KCNQ1OT1
lncRNA-NUTF2P3-001	KRAS
AOC4P	UHRF1
PCAT6	TP53, MYC
miR-190a	TRERNA1
miR-675	H19
ETS1	BANCR
MTOR	GAS5
miR-9	MALAT1
SPP1	HOTAIR
EZH2	SPRY4-IT1, NPTN-IT1, HOTAIR
E2F3	ERICD
loc285194	miR-211
RASSF1-AS1	SUZ12, RASSF1
RAB4B-EGLN2	EGLN2
PACERR	PTGS2
WT1-AS	MAPK1, WT1
FAM30A	VIM, CTNNB1
GAS1RR	SOX2, POU5F1, GAS1
SP3	MALAT1
MINCR	AURKA, AURKB, CDT1
MALINC1	PURA
PRDM16-DT	CDKN2A, CDKN2B
NALT1	NOTCH1
RN7SK	PI4P
TARDBP	MALAT1
ETS2	UCA1
BRD4	HOTAIR
ZXF2	MYC
EGFR	HOTAIR
ABL1	HOTAIR
lnc-bc060912	PARP1, NPM1
WIF1	MALAT1
RXRA	HULC
TET3	HIF1A-AS1
miR-217	MALAT1
MDC1-AS1	MDC1
LINC00974	KRT19
miR-125b-5p	HOTTIP
LOC401317	CCNE1, PARP1, CASP3, CCND1, CDKN1A
ESR1	NEAT1, HOTAIR, H19
POU3F3	DALIR
DALIR	DNMT1
PRAM1	NEAT1
miR-29b-3p	MEG3
EWSAT1	CCND1, MEG3
miR-200a-3p	H19
SRF	HOTAIR
PTCSC1	DHX9
miR-34c-5p	CBR3-AS1
TLR3	lnc-IL7R
LINC00511	CDKN1C, EZH2
TGFB2	LNCRNA-ATB
ACTA2-AS1	ACTA2
NOTCH1	AK022798, TUG1, LUNAR1
RB1	MEG3
TP53TG1	YBX1
BX357664	MAPK14, HSPB1, TGFB1
GSEC	DHX36
91H	IGF2, H19
SATB1	UCA1
HIC1	lncRNA-numb
miR-23b-3p	TUSC7
BC032469	TERT
IRAIN	KDM1A, KLF2, CDKN2B, EZH2
LINC01225	EGFR
CHAST	PLEKHM1
NRCP	GPI, STAT1
LUADT1	SUZ12, CDKN1B
GPLD1	CDKN2B-AS1
LINC01426	RUNX1
RUNX1	MT1DP
FAS-AS1	FAS
HGF	H19
SNAI1	PCA3
SMILR	HAS2
miR-1-3p	UCA1
ABALON	BCL2L1
SRSF1	MALAT1
IGF1	CRNDE
BALR-6	SP1
NDC80	BX647187
NUF2	AF339813
AK022798	CASP8, CASP3, ABCC1
BOK-AS1	CCN4, BOK
AATBC	RB1, NFE2L2, MAPK8, CASP9, CASP3, CCND1, CDKN2C, CDK4
AB074278	EMP1
TMPOP2	CDH1, EZH2
miR-129-5p	GACAT3
AK126698	CTNNB1, NKD2
LOC285194	FLT1
lncRNA-LOWEG	LIFR
HBX	DBH-AS1
DACOR1	CBS
GHR	EGFR-AS1
FOXA1	DRAIC, PCAT29
EWSR1	EWSAT1
RPL13AP23	OS9, HIF1A
PI3K	GAS5
CTBP1-AS	CTBP1
PAX5	DLEU2
NFE2L2	LUCAT1
GAS6-AS1	GAS6
TARID	TDG, GADD45A, TCF21
COL1A1	HOTAIR
KMT2A	HOTAIR
KMT2C	HOTAIR
CREBBP	HOTAIR
EP300	HOTAIR
NBR2	PRKAB1, PRKAG1, PRKAA2, PRKAA1
LINC00462	PI3K, AKT1
LNMICC	FABP5, NPM1
miR-190	LNMICC
SBF2-AS1	SUZ12, CDKN1A
LINC01672	MMP10, BPTF, MMP3
NSUN2	LINC01672
EZR-AS1	EZR, SMYD3
AK001796	TP53, MDM2
TTN-AS1	SNAI1, ELAVL1, FSCN1
POU6F2-AS2	YBX1
LINC01118	miR-134, ABCC1
LNCOC1	miR-34c, miR-34a
PTEN	MALAT1
PCDH10	MALAT1
SYK	MALAT1
FOXC1	HOTAIR
miR-34a	HOTAIR
RHOC	HOTAIR
MRTFA	HOTAIR
LUNAR1	IGF1R
